Title,Image,Name,"Genre(via Amazon)
* Sort by: Best Sellers","Gender
(F - Female / M- Male)",Age,Appearance(외관),Personality(개성),Ability(능력),Occupation(직업)
Macbath,https://upload.wikimedia.org/wikipedia/commons/8/81/Lady_Macbeth_Cattermole.jpg,Ms. Macbath,Shakespare Dramas & Plays,F,,,"• Murderous manipulation: Manipulates her husband to kill Duncan.
• Guilt over murder: Suffers from delusions and commits suicide.
• Desire for power",,Queen
Cinderella(by Charles Perrault),https://mblogthumb-phinf.pstatic.net/data44/2009/3/25/55/%BD%C5%B5%A5%B7%BC%B6%F3.cinderella.1950.dvdrip.ac3.5ch.2audio.cd2.avi_000736820_cometandiris.jpg?type=w420,two daughters,Childeren's Folk Tales & Myths,F,,,"• Malevolence: Abuses Cinderella without reason.
• Cowardice
• Deceiver: Promises to take Cinderella to the ball after she finishes her work but doesn't.",,
Dracula,https://upload.wikimedia.org/wikipedia/commons/0/08/Bela_Lugosi_as_Dracula.jpg,Count Dracula,Horror Fiction Classics,M,,"• Race (or ethnicity): Noble
• Impression: Black cloak
• Distinctive feature: Fangs","• Vampire: Feeds only on women's blood.
• Vulnerable to sunlight",,Count
Lolita,https://static.wikia.nocookie.net/kubrick/images/1/13/ClareQuilty.png/revision/latest?cb=20230123202228,Clare Quilty,Censorship & Politics,M,,,"• Disorder: Pedophilia
• Lolicon
• Name - Antagonist's appellation: Declare guilty or Clear guilty ",,
The Handmaid's Tale,https://static.wikia.nocookie.net/the-handmaids-tale/images/9/9c/Fredwaterford.png/revision/latest?cb=20190624092837,Fred,Dystopian Science Fiction,M,,• Attire:Black uniform,"• Disorder: Exhibitionist
• Brazenness
• Hoarding instinct",,Commander
Paradise Lost,https://upload.wikimedia.org/wikipedia/commons/9/90/GustaveDoreParadiseLostSatanProfile.jpg,Satan,"Ancient, Classical & Medieval Poetry",,,"• Skin color: God's creation
• Distinctive feature: Wings attached while walking","• 'Evil': Entity associated with evil
• Fallen from the sky
• Liar: John's Gospel - Jesus Christ says of Satan, ""He was a murderer from the beginning, not holding to the truth, for there is no truth in him. When he lies, he speaks his native language, for he is a liar and the father of lies.""
• Arrogance, Ignorance: Strives to become like the Creator, Jesus
• Name - Antagonist's appellation: (When used with the definite article) The Accuser, The Slanderer",,
The Wonderful Wizard of Oz,https://upload.wikimedia.org/wikipedia/commons/9/93/Wicked_Witch_of_the_West.png,The Wicked Witch of The West,Eastern European Literary Criticism,F,,• Impression:Black dress,"
",• Magic,Witch
Oliver Twist,https://upload.wikimedia.org/wikipedia/commons/0/02/Bill-sikes.jpg,Bill Sikes,Classic Literary Fiction,M,,,"• Violent
• Criminal: Murderer. Animal abuse. Robbery.
• Unfortunate childhood: Lost parents at a young age",,Gang Leader
The Jungle Book,https://upload.wikimedia.org/wikipedia/commons/d/dc/Becque_-_Livre_de_la_jungle%2C_p27.jpeg, Shere Khan,Folklore,M,,• Race (or ethnicity):Tiger,"
• Arrogance: Perceives oneself as the ruler of the jungle.
• Cleverness
• Ferocious when angry (Normally: affectionate, kind)
• Fears fire, guns
• Mocks others",,
Chitty chitty bang bang,https://upload.wikimedia.org/wikipedia/en/5/52/The_Child_Catcher.jpg,Child Catcher,Childeren's Fantasy & Magic Books,M,,,"• Criminal: Child abduction and murder
• Influential criminal in children's novels",,
The Mystery of Dr. Fu-Manchu,https://upload.wikimedia.org/wikipedia/commons/8/81/Boris_Karloff_in_The_Mask_of_Fu_Manchu.jpg,Dr. Fu-Manchu,International Mystery & Crime,M,,"• Race or ethnicity: Chinese
• Distinctive feature: Mustache","• Cleverness: Genius killer
• Occultism
• Disgust towards guns, bombs
• Deceitfulness",,
,,,,,,,,,Mad Scientist
